,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
45,3,['ZX'],linear,0.009528110897269626,"(0.2820300729552216, 0.2813914002291677, 0.2998089492976531)",2,2,0.5,0.5,0.4375
6,2,"['XZ', 'YZ']",linear,0.009409481377249618,"(0.33846873143765144, 0.33592214234149587, 0.3521945159998396)",4,3,0.5,0.5,0.4375
10,2,"['ZX', 'ZY']",linear,0.009409481377249618,"(0.33846873143765144, 0.33592214234149587, 0.3521945159998396)",4,3,0.5,0.5,0.4375
13,3,"['XY', 'ZX']",linear,0.009365863936292296,"(0.4108349471331685, 0.3956662991369575, 0.3992293790133311)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
22,3,"['ZX', 'XY']",linear,0.009365863936292296,"(0.4108349471331685, 0.3956662991369575, 0.3992293790133311)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
33,3,"['YX', 'XZ']",linear,0.009365863936292296,"(0.4108349471331685, 0.3956662991369575, 0.3992293790133311)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
22,3,"['XZ', 'YX']",linear,0.009365863936292296,"(0.4108349471331685, 0.3956662991369575, 0.3992293790133311)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
0,3,"['XX', 'YZ']",linear,0.009334336671035504,"(0.29815532311066256, 0.29684280124296386, 0.3141989527173361)",4,3,0.5,0.5,0.4375
2,3,"['XX', 'ZY']",linear,0.009334336671035504,"(0.29815532311066256, 0.29684280124296386, 0.3141989527173361)",4,3,0.5,0.5,0.4375
9,3,"['YZ', 'XX']",linear,0.009334336671035504,"(0.29815532311066256, 0.29684280124296386, 0.3141989527173361)",4,3,0.5,0.5,0.4375
33,3,"['ZY', 'XX']",linear,0.009334336671035504,"(0.29815532311066256, 0.29684280124296386, 0.3141989527173361)",4,3,0.5,0.5,0.4375
28,3,"['ZX', 'ZY']",linear,0.009066527132248037,"(0.34813091512519273, 0.33689370525540313, 0.34378954965010955)",4,3,0.4142857142857143,0.4166666666666667,0.41258741258741255
24,3,"['XZ', 'YZ']",linear,0.009066527132248037,"(0.34813091512519273, 0.33689370525540313, 0.34378954965010955)",4,3,0.4142857142857143,0.4166666666666667,0.41258741258741255
38,2,"['XY', 'YX']",linear,0.009020602650019638,"(0.469925220802729, 0.44118769006425773, 0.4304913646258257)",4,2,0.5,0.5,0.48571428571428577
14,2,"['YX', 'XY']",linear,0.009020602650019638,"(0.469925220802729, 0.44118769006425773, 0.4304913646258257)",4,2,0.5,0.5,0.48571428571428577
17,3,"['YZ', 'ZZ']",linear,0.009020455004259076,"(0.33219437324683554, 0.32894223972851316, 0.34373101621870894)",4,2,0.5,0.5,0.4375
41,3,"['ZY', 'ZZ']",linear,0.009020455004259076,"(0.33219437324683554, 0.32894223972851316, 0.34373101621870894)",4,2,0.5,0.5,0.4375
24,3,"['ZX', 'YX']",linear,0.008936050289908626,"(0.4205186180021664, 0.43656622191641054, 0.47048592641047193)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
20,3,"['XZ', 'XY']",linear,0.008936050289908626,"(0.4205186180021664, 0.43656622191641054, 0.47048592641047193)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
42,3,"['XX', 'XY']",linear,0.00880267426011333,"(0.4120580130935574, 0.4182871391391155, 0.44212161370490033)",4,2,0.5,0.5,0.4375
44,3,"['XX', 'YX']",linear,0.00880267426011333,"(0.4120580130935574, 0.4182871391391155, 0.44212161370490033)",4,2,0.5,0.5,0.4375
20,2,"['ZY', 'YZ']",linear,0.008355521831476198,"(0.40498000311150817, 0.4001631552844979, 0.41205735112044006)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
44,2,"['YZ', 'ZY']",linear,0.008355521831476198,"(0.40498000311150817, 0.4001631552844979, 0.41205735112044006)",4,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
40,2,"['XY', 'YZ']",linear,0.008096011748282339,"(0.43659318978633344, 0.4369935819554691, 0.4535859976211695)",4,3,0.5,0.5,0.4375
18,2,"['ZY', 'YX']",linear,0.008096011748282339,"(0.43659318978633344, 0.4369935819554691, 0.4535859976211695)",4,3,0.5,0.5,0.4375
38,2,"['YZ', 'XY']",linear,0.008096011748282339,"(0.43659318978633344, 0.4369935819554691, 0.4535859976211695)",4,3,0.5,0.5,0.4375
20,2,"['YX', 'ZY']",linear,0.008096011748282339,"(0.43659318978633344, 0.4369935819554691, 0.4535859976211695)",4,3,0.5,0.5,0.4375
45,2,"['YZ', 'ZZ']",linear,0.007873127376315847,"(0.38923003355767655, 0.39073041497388045, 0.40797705114271604)",4,2,0.5,0.5,0.4375
23,2,"['ZY', 'ZZ']",linear,0.007873127376315847,"(0.38923003355767655, 0.39073041497388045, 0.40797705114271604)",4,2,0.5,0.5,0.4375
39,2,"['YZ', 'XZ']",linear,0.007716855024019864,"(0.37539210835364006, 0.37688277537438364, 0.393807152443167)",4,3,0.5,0.5,0.4375
21,2,"['ZY', 'ZX']",linear,0.007716855024019864,"(0.37539210835364006, 0.37688277537438364, 0.393807152443167)",4,3,0.5,0.5,0.4375
3,2,"['XZ', 'XZ']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
22,2,"['ZY', 'ZY']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
42,2,"['YZ', 'YZ']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
16,2,"['YX', 'YX']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
5,2,"['ZX', 'XZ']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
36,2,"['XY', 'XY']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
7,2,"['XZ', 'ZX']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
9,2,"['ZX', 'ZX']",linear,0.007516014510359381,"(0.38602247404862156, 0.3780340823964001, 0.3850777197648973)",4,2,0.5,0.5,0.48571428571428577
15,3,"['YZ', 'ZX']",linear,0.007426662106061965,"(0.36490633867847594, 0.37118322130947917, 0.39231342815260634)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
26,3,"['XZ', 'ZY']",linear,0.007426662106061965,"(0.36490633867847594, 0.37118322130947917, 0.39231342815260634)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
26,3,"['ZX', 'YZ']",linear,0.007426662106061965,"(0.36490633867847594, 0.37118322130947917, 0.39231342815260634)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
35,3,"['ZY', 'XZ']",linear,0.007426662106061965,"(0.36490633867847594, 0.37118322130947917, 0.39231342815260634)",4,3,0.5857142857142857,0.5833333333333334,0.5804195804195803
10,3,"['XY', 'YX']",linear,0.007424233691085802,"(0.45832292875091407, 0.44197345073388516, 0.44047244009902786)",4,2,0.5,0.5,0.48571428571428577
32,3,"['YX', 'XY']",linear,0.007424233691085802,"(0.45832292875091407, 0.44197345073388516, 0.44047244009902786)",4,2,0.5,0.5,0.48571428571428577
37,2,"['XY', 'XZ']",linear,0.007121518253098091,"(0.4186797335205236, 0.4331073227093056, 0.46177794840428377)",4,3,0.6111111111111112,0.5833333333333334,0.5555555555555555
