,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
4,3,"['XY', 'X']",linear,0.041606184384511746,"(0.3220759734839571, 0.26066052731006845, 0.28245744990520333)",3,2,0.6111111111111112,0.5833333333333334,0.5555555555555555
36,2,"['YZ', 'Z']",linear,0.0413889286333855,"(0.3196066197004155, 0.25344856066598365, 0.2700683588983228)",3,2,0.4142857142857143,0.4166666666666667,0.41258741258741255
19,3,"['ZX', 'Y']",linear,0.04119322516576848,"(0.30152201952012403, 0.24913567807190531, 0.2791357869552235)",3,3,0.7571428571428571,0.75,0.7482517482517482
18,3,"['ZX', 'X']",linear,0.04103284109314753,"(0.34398459709700724, 0.27624808263914896, 0.29057725036758575)",3,2,0.5,0.5,0.48571428571428577
4,3,"['YY', 'ZY']",linear,0.04090217596615575,"(0.3504742404193514, 0.31635557102484557, 0.3640412535626513)",4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,3,"['YY', 'YZ']",linear,0.04090217596615575,"(0.3504742404193514, 0.31635557102484557, 0.3640412535626513)",4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
36,3,"['Z', 'ZY']",linear,0.040870282954444725,"(0.38649355650196804, 0.32711638538744636, 0.34947978018181414)",3,2,0.6875,0.6666666666666666,0.6571428571428571
21,2,"['XX', 'Y']",linear,0.04066003642907695,"(0.46111698420722075, 0.3549847015165008, 0.3301724916839348)",3,2,0.6875,0.6666666666666666,0.6571428571428571
17,2,"['Z', 'ZX']",linear,0.04063455806749999,"(0.2762440242622688, 0.2348670963407336, 0.2747592845541984)",3,2,0.5,0.5,0.48571428571428577
43,2,"['YZ', 'ZX']",linear,0.04039119494747012,"(0.4356326024530721, 0.37414323943802397, 0.393436266317916)",4,3,0.7571428571428571,0.75,0.7482517482517482
17,2,"['ZY', 'XZ']",linear,0.04039119494747012,"(0.4356326024530721, 0.37414323943802397, 0.393436266317916)",4,3,0.7571428571428571,0.75,0.7482517482517482
8,2,"['XZ', 'ZY']",linear,0.04039119494747012,"(0.4356326024530721, 0.37414323943802397, 0.393436266317916)",4,3,0.7571428571428571,0.75,0.7482517482517482
8,2,"['ZX', 'YZ']",linear,0.04039119494747012,"(0.4356326024530721, 0.37414323943802397, 0.393436266317916)",4,3,0.7571428571428571,0.75,0.7482517482517482
12,3,"['X', 'ZY']",linear,0.04023660478901003,"(0.29060313195868065, 0.25067659308468493, 0.2912232637887092)",3,3,0.7571428571428571,0.75,0.7482517482517482
35,3,"['YX', 'YY']",linear,0.040123827018740454,"(0.4501983903883748, 0.4636597625187799, 0.557368788686666)",4,2,0.6875,0.6666666666666666,0.6571428571428571
11,3,"['XY', 'YY']",linear,0.040123827018740454,"(0.4501983903883748, 0.4636597625187799, 0.557368788686666)",4,2,0.6875,0.6666666666666666,0.6571428571428571
16,3,"['XZ', 'X']",linear,0.03995077437097616,"(0.30218604715076136, 0.25852826295660086, 0.2947720275043927)",3,2,0.5,0.5,0.48571428571428577
33,3,"['Z', 'YY']",linear,0.03951153494762527,"(0.29545656517382923, 0.27102268476098323, 0.32561187424338783)",3,2,0.5,0.5,0.48571428571428577
13,3,"['YZ', 'YY']",linear,0.03945853205614014,"(0.35925259408227034, 0.3243585432820879, 0.36838155659418576)",4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
37,3,"['ZY', 'YY']",linear,0.03945853205614014,"(0.35925259408227034, 0.3243585432820879, 0.36838155659418576)",4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
30,2,"['X', 'X']",linear,0.038981391572063734,"(0.28022225782497145, 0.24446535985924486, 0.2866712450376458)",2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
38,1,"['Z', 'Z']",linear,0.038981391572063734,"(0.28022225782497145, 0.24446535985924486, 0.2866712450376458)",2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
25,1,"['Y', 'Y']",linear,0.038981391572063734,"(0.28022225782497145, 0.24446535985924486, 0.2866712450376458)",2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
15,3,"['Y', 'Y']",linear,0.038981391572063734,"(0.28022225782497145, 0.24446535985924486, 0.2866712450376458)",2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
25,3,"['ZX', 'YY']",linear,0.03884189028166338,"(0.26492851831455927, 0.230789953593068, 0.27433516943490344)",4,3,0.5,0.5,0.4375
45,3,"['YY', 'XZ']",linear,0.03884189028166338,"(0.26492851831455927, 0.230789953593068, 0.27433516943490344)",4,3,0.5,0.5,0.4375
23,3,"['XZ', 'YY']",linear,0.03884189028166338,"(0.26492851831455927, 0.230789953593068, 0.27433516943490344)",4,3,0.5,0.5,0.4375
3,3,"['YY', 'ZX']",linear,0.03884189028166338,"(0.26492851831455927, 0.230789953593068, 0.27433516943490344)",4,3,0.5,0.5,0.4375
45,2,"['XZ', 'Y']",linear,0.038714954456422535,"(0.35291309497324286, 0.29628799130412314, 0.31709279654784844)",3,3,0.5,0.5,0.5
32,2,"['XY', 'X']",linear,0.03844547696850947,"(0.3353394034107579, 0.26166391323556926, 0.26487937699739955)",3,2,0.3125,0.3333333333333333,0.3142857142857143
22,3,"['ZX', 'XY']",linear,0.03828937171722463,"(0.39185035314626987, 0.32103267842341715, 0.32679374713501375)",4,3,0.5,0.5,0.5
22,3,"['XZ', 'YX']",linear,0.03828937171722463,"(0.39185035314626987, 0.32103267842341715, 0.32679374713501375)",4,3,0.5,0.5,0.5
33,3,"['YX', 'XZ']",linear,0.03828937171722463,"(0.39185035314626987, 0.32103267842341715, 0.32679374713501375)",4,3,0.5,0.5,0.5
13,3,"['XY', 'ZX']",linear,0.03828937171722463,"(0.39185035314626987, 0.32103267842341715, 0.32679374713501375)",4,3,0.5,0.5,0.5
45,3,"['XX', 'YY']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
37,1,"['ZX', 'ZX']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
25,2,['YY'],linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",2,1,0.5857142857142857,0.5833333333333334,0.5804195804195803
27,2,"['ZZ', 'XX']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
44,1,"['YX', 'YX']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
41,3,"['XX', 'XX']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,1,0.5857142857142857,0.5833333333333334,0.5804195804195803
23,2,"['XX', 'XX']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,1,0.5857142857142857,0.5833333333333334,0.5804195804195803
24,1,"['YZ', 'YZ']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
2,1,"['ZY', 'YZ']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
4,1,"['ZY', 'ZY']",linear,0.03808382353566575,"(0.49661241726306593, 0.477675160232234, 0.5349055502727337)",4,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
